;F1;F2;F3;F4;F5;F6;F7
Equipe 1; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 2; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 3; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 4; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 5; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 6; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 7; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 8; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 9; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 10; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 11; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 12; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 13; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
Equipe 14; 1,00   ; 1,00   ; 2,00   ; 2,00   ; 0,50   ; 0,50   ; 1,00   
